PRATICA;CERTIFICATO
368313;8000
368315;10000
368316;10000
368322;10000
368329;8000
368336;8000
368343;10000
368352;10000
368362;10000
368366;10000
368376;10000
368378;8000
368390;8000
368407;10000
368413;10000
368419;8000
368422;8000
368431;8000
368432;8000
368433;10000
368434;8000
368444;10000
368445;8000
368460;8000
368465;10000
368467;10000
368469;10000
368473;8000
368479;8000
368482;10000
368484;8000
368485;8000
368493;10000
368501;10000
368505;10000
368520;8000
368522;8000
368527;10000
368537;8000
368540;8000
368547;10000
368557;10000
368558;8000
368563;10000
368572;10000
368574;8000
368575;8000
368577;10000
368578;10000
368579;10000
368581;10000
368584;8000
368589;8000
368591;10000
368601;8000
368603;10000
368604;8000
368611;8000
368613;8000
368619;8000
368620;8000
368627;10000
368628;8000
368640;10000
368655;8000
368659;10000
368661;8000
368671;8000
368672;8000
368677;8000
368683;8000
368688;10000
368704;10000
368705;8000
368707;10000
368714;10000
368724;8000
368729;10000
368731;10000
368736;8000
368742;8000
368743;8000
368744;8000
368747;8000
368749;10000
368753;8000
368754;8000
368756;8000
368758;10000
368761;8000
368765;8000
368773;10000
368777;8000
368778;10000
368786;8000
368787;8000
368850;10000
368851;10000
368854;10000
368879;10000
368884;10000
368885;10000
368890;8000
368891;8000
368894;8000
368903;8000
368910;8000
368928;8000
368989;8000
369039;8000
369044;10000
369058;8000
369061;10000
369152;8000
369171;8000
369209;8000
369219;8000
369256;8000
369258;10000
369313;8000
369339;10000
369435;8000
369441;10000
369452;10000
369466;8000
369761;8000
369914;8000
370504;8000
370579;10000
370913;8000
370928;10000
371048;8000
371768;8000
371929;8000
372425;8000
373019;10000
373162;10535715
373171;9789,28
373358;8000
373844;458854,2
373877;8000
374291;37454
374292;11590
375540;8000
377208;30701,28
378299;55632
378597;200849,59
378678;386716,2
380108;40382
382393;126701,74
387980;63621999,04
401989;382555,14
413401;46360
413402;66108,11
416938;24400
419305;68405,4
419306;1113753,21
420293;56666
420502;324999,99
420946;150166,68
421354;458427,2
423951;4692,85
433368;40274,5
434116;7984,41
440733;9445,34
440734;21707,48
440735;40000
440736;40000
440737;26200
440740;28768,02
440741;24354,34
440742;40000
440743;40000
440744;40000
440745;33250
440746;28800
440747;40000
440748;19805,6
440751;40000
440752;40000
440753;24521,6
440755;8040,8
440756;37576,7
440758;40000
440760;30114,8
440761;40000
440762;40000
440763;40000
440764;40000
440765;40000
440766;40000
440768;14128,78
440769;40000
440770;40000
440771;40000
440772;40000
440773;40000
440774;40000
440775;19132,04
440776;40000
440777;24172,76
440778;40000
440779;10056,16
440780;10895,13
440782;35258,92
440783;24400
440785;38868,43
440786;40000
440788;40000
440791;39171,47
440793;40000
440795;10320
440796;40000
440797;40000
440798;40000
440799;40000
440800;40000
440801;21602
440803;40000
440804;40000
440807;38636
440808;40000
440809;40000
440811;18480
440812;40000
440813;15000
440814;40000
440817;11660
440818;40000
440820;15267,04
440824;40000
440825;18986,68
440826;15577,02
440827;16628
440828;12480
440829;40000
440834;40000
440835;17754,05
440836;32827,07
440838;26474,16
440839;40000
440840;40000
440841;40000
440842;40000
440845;40000
440846;25075,2
440848;23173,2
440849;38874,31
440851;37440
440852;15626,04
440853;7386,8
440855;13028,08
440856;38208,35
440857;40000
440858;40000
440859;40000
440860;40000
440861;40000
440863;40000
440864;11797,68
440865;40000
440868;22195,52
440870;27507,64
440871;32880
440872;40000
440874;15000
440876;40000
440877;40000
440878;40000
440879;30740
440880;40000
440882;39581,86
440884;15000
440885;15000
440891;11600
440892;40000
440893;40000
440894;10993,04
440895;37600
440898;16498,36
440899;36168,03
440900;40000
440901;24306,8
440902;26385,58
440903;40000
440904;21553,9
440905;32176,8
440906;22678
440908;40000
440909;35400,38
440910;29570,1
440916;40000
440917;13287,2
440918;40000
440919;30000
440924;14138,44
440928;20012,36
440929;40000
440930;37200
440931;40000
440932;40000
440933;40000
440934;35680
440935;40000
440936;40000
440937;40000
440938;10075,42
440940;40000
440941;27600
440943;9596
440945;40000
440948;40000
440950;14904,54
440951;28000
440954;26800
440955;40000
440959;12282
440961;40000
440962;9978,8
440964;26697,71
440965;40000
440966;40000
440968;40000
440969;40000
440970;14933,48
440972;34400
440974;40000
440975;40000
440976;40000
440977;40000
440980;37200
440981;9567,2
440985;40000
440986;40000
440987;40000
440990;40000
440993;40000
440994;40000
440996;40000
440997;40000
440998;11782,28
441001;18759,6
441003;13200
441004;16840
441005;8768
441010;11612,88
441013;40000
441015;40000
441016;12400
441018;27766,8
441020;14776,89
441021;40000
441023;16000
441024;28000
441025;10000
441026;39882,6
441029;40000
441033;39040,58
441034;40000
441036;40000
441037;29529,29
441038;40000
441042;17484,12
441049;40000
441050;11426,34
